TY,T1,AU,JO,VL,SP,PY,DA,SN,DO,UR,KW,AB,EP,IS,T2,We,In
,,,,,,,,,,,Graph embeddings,,,,,,
,,,,,,,,,,,Node2vec,,,,,,
,,,,,,,,,,,WordNet,,,,,,
,,,,,,,,,,,Lexical Semantic Similarity,,,,,,
JOUR,FADO: Feedback-Aware Double COntrolling Network for Emotional Support Conversation,"Peng, Wei",Knowledge-Based Systems,264,110340,2023,2023/03/15/,0950-7051,https://doi.org/10.1016/j.knosys.2023.110340,https://www.sciencedirect.com/science/article/pii/S0950705123000904,Emotional Support Conversation,"Emotional Support Conversation (ESConv) aims to reduce help-seekers’ emotional distress with a supportive strategy and response. It is essential for the supporter to select an appropriate strategy according to the feedback of the help-seeker (e.g., emotion change during dialog turns, etc.) in ESConv. However, previous methods mainly rely on the dialog history to select the strategy and ignore the help-seeker’s feedback, causing wrong and user-irrelevant strategy predictions. Meanwhile, these methods only model the context-to-strategy flow but pay less attention to the strategy-to-context flow involving the strategy-related context for generating strategy-constrained responses. In this paper, a Feedback-Aware Double COntrolling Network (FADO) is proposed to make a strategy schedule and generate supportive responses. The core modules in FADO include a dual-level feedback strategy selector and a double control reader, where the former leverages the turn-level and conversation-level feedback to encourage or penalize strategies, and the latter constructs a novel strategy-to-context flow to generate strategy-constrain responses. Besides, a strategy dictionary is designed to enrich the semantic information of the strategy and improve the quality of the strategy-constrained response. Experimental results on ESConv indicate that the proposed FADO achieves SOTA performance in terms of strategy selection and response generation. Our code is available at https://github.com/Thedatababbler/FADO.",,,,,
,,"Qin, Ziyuan",,,,,,,,,Strategy selection,,,,,,
,,"Hu, Yue",,,,,,,,,Dual-level feedback,,,,,,
,,"Xie, Yuqiang",,,,,,,,,Response generation,,,,,,
,,"Li, Yunpeng",,,,,,,,,,,,,,,
JOUR,"Multimodal Co-learning: Challenges, applications with datasets, recent advances and future directions","Rahate, Anil",Information Fusion,81,203,2022,2022/05/01/,1566-2535,https://doi.org/10.1016/j.inffus.2021.12.003,https://www.sciencedirect.com/science/article/pii/S1566253521002530,Multimodal co-learning,"Multimodal deep learning systems that employ multiple modalities like text, image, audio, video, etc., are showing better performance than individual modalities (i.e., unimodal) systems. Multimodal machine learning involves multiple aspects: representation, translation, alignment, fusion, and co-learning. In the current state of multimodal machine learning, the assumptions are that all modalities are present, aligned, and noiseless during training and testing time. However, in real-world tasks, typically, it is observed that one or more modalities are missing, noisy, lacking annotated data, have unreliable labels, and are scarce in training or testing, and or both. This challenge is addressed by a learning paradigm called multimodal co-learning. The modeling of a (resource-poor) modality is aided by exploiting knowledge from another (resource-rich) modality using the transfer of knowledge between modalities, including their representations and predictive models. Co-learning being an emerging area, there are no dedicated reviews explicitly focusing on all challenges addressed by co-learning. To that end, in this work, we provide a comprehensive survey on the emerging area of multimodal co-learning that has not been explored in its entirety yet. We review implementations that overcome one or more co-learning challenges without explicitly considering them as co-learning challenges. We present the comprehensive taxonomy of multimodal co-learning based on the challenges addressed by co-learning and associated implementations. The various techniques, including the latest ones, are reviewed along with some applications and datasets. Additionally, we review techniques that appear to be similar to multimodal co-learning and are being used primarily in unimodal or multi-view learning. The distinction between them is documented. Our final goal is to discuss challenges and perspectives and the important ideas and directions for future work that we hope will benefit for the entire research community focusing on this exciting domain.",,239,,,
,,"Walambe, Rahee",,,,,,,,,Multimodal deep learning,,,,,,
,,"Ramanna, Sheela",,,,,,,,,Missing modalities,,,,,,
,,"Kotecha, Ketan",,,,,,,,,Multimodal taxonomy,,,,,,
,,,,,,,,,,,Multimodal datasets,,,,,,
JOUR,Discontinuous grammar as a foreign language,"Fernández-González, Daniel",Neurocomputing,524,43,2023,2023/03/01/,0925-2312,https://doi.org/10.1016/j.neucom.2022.12.045,https://www.sciencedirect.com/science/article/pii/S092523122201551X,Natural language processing,"In order to achieve deep natural language understanding, syntactic constituent parsing is a vital step, highly demanded by many artificial intelligence systems to process both text and speech. One of the most recent proposals is the use of standard sequence-to-sequence models to perform constituent parsing as a machine translation task, instead of applying task-specific parsers. While they show a competitive performance, these text-to-parse transducers are still lagging behind classic techniques in terms of accuracy, coverage and speed. To close the gap, we here extend the framework of sequence-to-sequence models for constituent parsing, not only by providing a more powerful neural architecture for improving their performance, but also by enlarging their coverage to handle the most complex syntactic phenomena: discontinuous structures. To that end, we design several novel linearizations that can fully produce discontinuities and, for the first time, we test a sequence-to-sequence model on the main discontinuous benchmarks, obtaining competitive results on par with task-specific discontinuous constituent parsers and achieving state-of-the-art scores on the (discontinuous) English Penn Treebank.",,58,,,
,,"Gómez-Rodríguez, Carlos",,,,,,,,,Computational linguistics,,,,,,
,,,,,,,,,,,Parsing,,,,,,
,,,,,,,,,,,Discontinuous constituent parsing,,,,,,
,,,,,,,,,,,Neural network,,,,,,
,,,,,,,,,,,Deep learning,,,,,,
,,,,,,,,,,,Sequence-to-sequence model,,,,,,
JOUR,SemAGR: semantic method for accurate geolocations reconstruction within extensive urban sites,"Sergeeva, Julia",Procedia Computer Science,212,409,2022,2022/01/01/,1877-0509,https://doi.org/10.1016/j.procs.2022.11.025,https://www.sciencedirect.com/science/article/pii/S1877050922017161,urban study,"Accurate geolocation of users’ posts in social networks plays a vital role in a wide area of research devoted to analysing the urban environment based on social media data. It allows us to effectively correlate information about a real urban object with its description in social networks. Information analysis about extensive urban sites is challenging in such studies because publications correlate extremely unevenly with marked geotags relating to such objects. In addition, users of social networks often intentionally indicate incorrect geolocations to increase their publications’ popularity. This article proposes a solution to the problem of accurate geolocation reconstruction for extensive urban sites. It is proposed to use a combined method that enriches the list of initial geolocations of the social network with the help of external sources. The transformer model is then applied to recognise named entities that help to detect mentions of events or locations in user posts. After detection, posts are redefined to the new locations from the extended list according to the semantic similarity calculated between publications and locations.",,417,11th International Young Scientist Conference on Computational Science,,
,,"Filatova, Anastasiia",,,,,,,,,spatial analysis,,,,,,
,,"Kovalchuk, Mikhail",,,,,,,,,text mining,,,,,,
,,"Teryoshkin, Sergey",,,,,,,,,named entity recognition,,,,,,
,,,,,,,,,,,social networks,,,,,,
JOUR,Identification of Multilingual Offense and Troll from Social Media Memes Using Weighted Ensemble of Multimodal Features,"Hossain, Eftekhar",Journal of King Saud University - Computer and Information Sciences,34,6605,2022,2022/10/01/,1319-1578,https://doi.org/10.1016/j.jksuci.2022.06.010,https://www.sciencedirect.com/science/article/pii/S1319157822002166,Multimodal learning,"In recent years, memes have become a common medium of promulgating offensive views by the content polluters in social media. Due to their multimodal nature, memes can easily evade the content regulators’ eyes. The proliferation of these undesired or harmful memes can cause a detrimental impact on social harmony. Therefore, restraining offensive memes on social media is of utmost importance. However, analyzing memes is very complicated as they implicitly express human emotions. Previous studies have not explored the joint modelling of multimodal features and their counteractive unimodal features (i.e., image, text) to classify undesired memes. This paper presents a framework that utilizes the weighted ensemble technique to assign weights to the participating visual, textual and multimodal models. The state-of-the-art visual (i.e., VGG19, VGG16, ResNet50) and textual (i.e., multilingual-BERT, multilingual-DistilBERT, XLM-R) models are employed to make the constituent modules of the framework. Moreover, two fusion approaches (i.e., early fusion and late fusion) are used to combine the visual and textual features for developing the multimodal models. The evaluations have demonstrated that the proposed weighted ensemble technique improves the performance over the investigated unimodal, multimodal, and ensemble models. The result shows that the proposed approach achieves superior outcomes on two multilingual benchmark datasets (MultiOFF and TamilMemes), with 66.73% and 58.59% weighted f1-scores, respectively. Furthermore, the comparative analysis reveals that the proposed approach outdoes other existing works by improving approximately 13% and 2% weighted f1-score gain.",9,6623,,,
,,"Sharif, Omar",,,,,,,,,Multimodal data,,,,,,
,,"Hoque, Mohammed Moshiul",,,,,,,,,Multilingual offense detection,,,,,,
,,"Akber Dewan, M. Ali",,,,,,,,,Ensemble,,,,,,
,,"Siddique, Nazmul",,,,,,,,,Multimodal fusion,,,,,,
,,"Hossain, Md. Azad",,,,,,,,,,,,,,,
JOUR,Pseudo-labeling with transformers for improving Question Answering systems,"Kuligowska, Karolina",Procedia Computer Science,192,1162,2021,2021/01/01/,1877-0509,https://doi.org/10.1016/j.procs.2021.08.119,https://www.sciencedirect.com/science/article/pii/S1877050921016082,Natural Language Processing,"Advances in neural networks contributed to the fast development of Natural Language Processing systems. As a result, Question Answering systems have evolved and can classify and answer questions in an intuitive yet communicative way. However, the lack of large volumes of labeled data prevents large-scale training and development of Question Answering systems, confirming the need for further research. This paper aims to handle this real-world problem of lack of labeled datasets by applying a pseudo-labeling technique relying on a neural network transformer model DistilBERT. In order to evaluate our contribution, we examined the performance of a text classification transformer model that was fine-tuned on the data subject to prior pseudo-labeling. Research has shown the usefulness of the applied pseudo-labeling technique on a neural network text classification transformer model DistilBERT. The results of our analysis indicated that the model with additional pseudo-labeled data achieved the best results among other compared neural network architectures. Based on that result, Question Answering systems may be directly improved by enriching their training steps with additional data acquired cost-effectively.",,1169,Knowledge-Based and Intelligent Information & Engineering Systems: Proceedings of the 25th International Conference KES2021,,
,,"Kowalczuk, Bartłomiej",,,,,,,,,Question Answering systems,,,,,,
,,,,,,,,,,,pseudo-labeling,,,,,,
,,,,,,,,,,,neural networks,,,,,,
,,,,,,,,,,,transfer learning,,,,,,
,,,,,,,,,,,knowledge distillation,,,,,,
JOUR,A deep penetration network for sentence classification,"Chen, Yanping",Information Fusion,95,174,2023,2023/07/01/,1566-2535,https://doi.org/10.1016/j.inffus.2023.02.015,https://www.sciencedirect.com/science/article/pii/S1566253523000556,Sentence classification,"Sentence classification is an important task in natural language processing. The task makes use of deep networks to enclose a mass of features with different granularities in a sentence. However, the classification usually suffer from severe performance degradation when stacking a large number of networks. The main reason is that, in a deep architecture, the silent feature representations are easily weakened and mixed with noisy information, which is not effective in learning contextual features and constructing semantic dependencies in a sentence. In this paper, a deep penetration network (DPN) is designed to improve deep architectures’ ability to preserve the favourable semantic features. The DPN enables salient features to penetrate through a deeper architecture and to construct long semantic dependencies between them. This approach is evaluated on seven public datasets. Our experiments show that the DPN exhibits a stable performance with deeper architectures. It improves the performance on three types of sentence classification tasks, outperforming the existing state-of-the-art models.",,185,,,
,,"Zhong, Xinyang",,,,,,,,,Text classification,,,,,,
,,"Liu, Yijun",,,,,,,,,Natural language processing,,,,,,
,,"Dong, Bo",,,,,,,,,Feature extraction,,,,,,
,,"Zheng, Qinghua",,,,,,,,,,,,,,,
JOUR,Tackling the infodemic during a pandemic: A comparative study on algorithms to deal with thematically heterogeneous fake news,"Vasist, Pramukh Nanjundaswamy",International Journal of Information Management Data Insights,2,100133,2022,2022/11/01/,2667-0968,https://doi.org/10.1016/j.jjimei.2022.100133,https://www.sciencedirect.com/science/article/pii/S2667096822000763,Ensemble,"Fake news poses a grave threat with devastating consequences in this information-centric age. While advances in data science undeniably hold the key to accurately detecting and curtailing the unfettered spread of fake news, guidance on the selection of algorithms and models that are best suited to a specific fake news scenario leaves much to be desired. Most studies have focused on fake news in a specific domain and employed a limited range of algorithmic techniques. In contrast, the thematic diversity of fake news raises questions over the comprehensiveness of such techniques, whose performance drops when exposed to fake news from a different domain. The current study responds to this call for guidance by focusing on thematically diverse datasets, applying a series of complex algorithms, and performing topic modeling on them. The results demonstrate that ensemble techniques outperform other algorithms, achieving high levels of accuracy of over 98 percent and 95 percent on thematically diverse and pandemic-related datasets, respectively. The study also demonstrates that neural networks are not a panacea for all situations, while topic modeling helps illustrate the lack of coherence in fake news articles. The study offers a distinct perspective on the accuracy of a diverse set of algorithmic approaches and their ability to adapt to an ever-evolving multi-domain world of fake news. A key implication of the study is the unique and comprehensive view of classification performance when exposed to diverse datasets, including pandemic-related news and data from other disciplines, as opposed to its performance on pandemic-related data alone. Our practical contribution is truly the comparative perspective we offer to practitioners when a choice of algorithm is to be made to accurately detect fake news with thematic heterogeneity.",2,,,,
,,"Sebastian, M.P.",,,,,,,,,Fake news,,,,,,
,,,,,,,,,,,Machine learning,,,,,,
,,,,,,,,,,,Neural networks,,,,,,
,,,,,,,,,,,Text classification,,,,,,
JOUR,Towards finding the lost generation of autistic adults: A deep and multi-view learning approach on social media,"Khorasani, Mahsa",Knowledge-Based Systems,276,110724,2023,2023/09/27/,0950-7051,https://doi.org/10.1016/j.knosys.2023.110724,https://www.sciencedirect.com/science/article/pii/S0950705123004744,Autism disorder,"The detection of mental disorders through social media has received significant attention. With the growing prevalence of Autism Spectrum Disorder (ASD) and the inherent difficulties in diagnosing adults, researchers have attempted to identify undiagnosed adults. Previous studies have primarily concentrated on analyzing ASD characteristics rather than directly detecting ASD. The current study aims to propose a novel framework to assist in identifying the “lost generation” of ASD adults using their social media posts. Combining traditional and deep learning methods makes it possible to model complex aspects of ASD diagnostic characteristics, which have been relatively overlooked in previous studies. To accomplish this, specific formalizations for users’ patterns of interest as a main ASD diagnostic characteristic are proposed first. The latent linguistic and semantic features of ASD users’ postings are then modeled using deep and transformer-based language models. Finally, all these different aspects are considered together to train a detection model by employing the multi-view learning approach. The experiments show that the feature of idiosyncratic interests has more discriminative power than limited and repetitive interests. The results also indicate that the early fusion of interest-related features along with deep linguistic features outperforms the other examined feature combinations. Additionally, the proposed ‘if−iuf’ fusion model demonstrates improved performance in capturing patterns of interests, compared to baselines. These findings suggest the potential application of the proposed framework towards indirectly identifying ASD users on social media, as evidenced by achieving precision and recall rates of 85% and 82% respectively on the used sampled dataset.",,,,,
,,"Kahani, Mohsen",,,,,,,,,Mental health,,,,,,
,,"Yazdi, Seyed Amir Amin",,,,,,,,,Social media mining,,,,,,
,,"Hajiaghaei-Keshteli, Mostafa",,,,,,,,,Multi-view learning,,,,,,
,,,,,,,,,,,Transformer learning,,,,,,
JOUR,CJE-TIG: Zero-shot cross-lingual text-to-image generation by Corpora-based Joint Encoding,"Zhang, Han",Knowledge-Based Systems,239,108006,2022,2022/03/05/,0950-7051,https://doi.org/10.1016/j.knosys.2021.108006,https://www.sciencedirect.com/science/article/pii/S0950705121011138,Cross-lingual pre-training,"Recently, text-to-Image (T2I) generation has been well developed by improving synthesis authenticity, text-consistency and generation diversity. However, large amount of pairwise image–text data required restricts generalization of synthesis models only to its pre-trained language. In this paper, a cross-lingual pre-training method is proposed to adapt target low-resource language to pre-trained generative models. As far as we known, this is the first time that arbitrary input languages could access T2I generation. This joint encoding scheme fulfills both universal and visual semantic alignment. With any prepared GAN-based T2I framework, pre-trained source encoder model could be easily fine-tuned to construct target encoder model and hence entirely enable transfer of T2I synthesis ability between languages. After that, a semantic-level alignment independent of source T2I structure is established to guarantee optimal text consistency and detail generation. Different from monolingual T2I methods that apply discriminator to enhance generation quality, we use an adversarial training scheme that optimizes the sentence-level alignment along with the word-level alignment with a self-attention mechanism. Considering of training for low-resource languages lack of parallel texts in practice, target input embedding is designed available for zero-shot learning. Experimental results prove robustness of the proposed cross-lingual T2I pre-training on multiple downstream generative models and target languages applied.",,,,,
,,"Yang, Suyi",,,,,,,,,Text-to-image synthesis,,,,,,
,,"Zhu, Hongqing",,,,,,,,,Universal contextual word vector space,,,,,,
,,,,,,,,,,,Semantic alignment,,,,,,
,,,,,,,,,,,Joint adversarial training,,,,,,
JOUR,"ISE-Hate: A benchmark corpus for inter-faith, sectarian, and ethnic hatred detection on social media in Urdu","Akram, Muhammad Hammad",Information Processing & Management,60,103270,2023,2023/05/01/,0306-4573,https://doi.org/10.1016/j.ipm.2023.103270,https://www.sciencedirect.com/science/article/pii/S0306457323000079,Hateful content detection,"Social media has become the most popular platform for free speech. This freedom of speech has given opportunities to the oppressed to raise their voice against injustices, but on the other hand, this has led to a disturbing trend of spreading hateful content of various kinds. Pakistan has been dealing with the issue of sectarian and ethnic violence for the last three decades and now due to freedom of speech, there is a growing trend of disturbing content about religion, sect, and ethnicity on social media. This necessitates the need for an automated system for the detection of controversial content on social media in Urdu which is the national language of Pakistan. The biggest hurdle that has thwarted the Urdu language processing is the scarcity of language resources, annotated datasets, and pretrained language models. In this study, we have addressed the problem of detecting Interfaith, Sectarian, and Ethnic hatred on social media in Urdu language using machine learning and deep learning techniques. In particular, we have: (1) developed and presented guidelines for annotating Urdu text with appropriate labels for two levels of classification, (2) developed a large dataset of 21,759 tweets using the developed guidelines and made it publicly available, and (3) conducted experiments to compare the performance of eight supervised machine learning and deep learning techniques, for the automated identification of hateful content. In the first step, experiments are performed for the hateful content detection as a binary classification task, and in the second step, the classification of Interfaith, Sectarian and Ethnic hatred detection is performed as a multiclass classification task. Overall, Bidirectional Encoder Representation from Transformers (BERT) proved to be the most effective technique for hateful content identification in Urdu tweets.",3,,,,
,,"Shahzad, Khurram",,,,,,,,,Urdu,,,,,,
,,"Bashir, Maryam",,,,,,,,,Corpus generation,,,,,,
,,,,,,,,,,,Sectarian,,,,,,
,,,,,,,,,,,BERT,,,,,,
,,,,,,,,,,,Ethnic,,,,,,
,,,,,,,,,,,Hatred,,,,,,
JOUR,Cross-domain knowledge distillation for text classification,"Zhang, Shaokang",Neurocomputing,509,11,2022,2022/10/14/,0925-2312,https://doi.org/10.1016/j.neucom.2022.08.061,https://www.sciencedirect.com/science/article/pii/S092523122201058X,Knowledge distillation,"Most text classification methods achieve great success based on the large-scale annotated data and the pre-trained language models. However, the labeled data is insufficient in practice, and the pre-trained language models are difficult to deploy due to their high computing resources and slow inference speed. In this paper, we propose cross-domain knowledge distillation, where the teacher and student tasks belong to different domains. It not only acquires knowledge from multiple teachers but also accelerates inference and reduces model size. Specifically, we train the pre-trained language models on factual knowledge obtained by aligned Wikipedia text to Wikidata triplets and fine-tune it as the teacher model. Then we use the heterogeneous multi-teacher knowledge distillation to transfer knowledge from the multiple teacher models to the student model. Multi-teacher knowledge vote can distill knowledge related to the target domain. Moreover, we also introduce the teacher assistant to help distill large pre-trained language models. Finally, we reduce the difference between the source domain and target domain by multi-source domain adaptation to solve the domain shift problem. Experiments on the multiple public datasets demonstrate that our method can achieve competitive performance while having fewer parameters and less inference time.",,20,,,
,,"Jiang, Lei",,,,,,,,,Domain adaptation,,,,,,
,,"Tan, Jianlong",,,,,,,,,Multi-teacher knowledge vote,,,,,,
,,,,,,,,,,,Text classification,,,,,,
JOUR,"Computational approaches to Explainable Artificial Intelligence: Advances in theory, applications and trends","Górriz, J.M.",Information Fusion,100,101945,2023,2023/12/01/,1566-2535,https://doi.org/10.1016/j.inffus.2023.101945,https://www.sciencedirect.com/science/article/pii/S1566253523002610,Explainable Artificial Intelligence,"Deep Learning (DL), a groundbreaking branch of Machine Learning (ML), has emerged as a driving force in both theoretical and applied Artificial Intelligence (AI). DL algorithms, rooted in complex and non-linear artificial neural systems, excel at extracting high-level features from data. DL has demonstrated human-level performance in real-world tasks, including clinical diagnostics, and has unlocked solutions to previously intractable problems in virtual agent design, robotics, genomics, neuroimaging, computer vision, and industrial automation. In this paper, the most relevant advances from the last few years in Artificial Intelligence (AI) and several applications to neuroscience, neuroimaging, computer vision, and robotics are presented, reviewed and discussed. In this way, we summarize the state-of-the-art in AI methods, models and applications within a collection of works presented at the 9th International Conference on the Interplay between Natural and Artificial Computation (IWINAC). The works presented in this paper are excellent examples of new scientific discoveries made in laboratories that have successfully transitioned to real-life applications.",,,,,
,,"Álvarez-Illán, I.",,,,,,,,,Data science,,,,,,
,,"Álvarez-Marquina, A.",,,,,,,,,Computational approaches,,,,,,
,,"Arco, J.E.",,,,,,,,,Machine learning,,,,,,
,,"Atzmueller, M.",,,,,,,,,Deep learning,,,,,,
,,"Ballarini, F.",,,,,,,,,Neuroscience,,,,,,
,,"Barakova, E.",,,,,,,,,Robotics,,,,,,
,,"Bologna, G.",,,,,,,,,Biomedical applications,,,,,,
,,"Bonomini, P.",,,,,,,,,Computer-aided diagnosis systems,,,,,,
,,"Castellanos-Dominguez, G.",,,,,,,,,,,,,,,
,,"Castillo-Barnes, D.",,,,,,,,,,,,,,,
,,"Cho, S.B.",,,,,,,,,,,,,,,
,,"Contreras, R.",,,,,,,,,,,,,,,
,,"Cuadra, J.M.",,,,,,,,,,,,,,,
,,"Domínguez, E.",,,,,,,,,,,,,,,
,,"Domínguez-Mateos, F.",,,,,,,,,,,,,,,
,,"Duro, R.J.",,,,,,,,,,,,,,,
,,"Elizondo, D.",,,,,,,,,,,,,,,
,,"Fernández-Caballero, A.",,,,,,,,,,,,,,,
,,"Fernandez-Jover, E.",,,,,,,,,,,,,,,
,,"Formoso, M.A.",,,,,,,,,,,,,,,
,,"Gallego-Molina, N.J.",,,,,,,,,,,,,,,
,,"Gamazo, J.",,,,,,,,,,,,,,,
,,"González, J. García",,,,,,,,,,,,,,,
,,"Garcia-Rodriguez, J.",,,,,,,,,,,,,,,
,,"Garre, C.",,,,,,,,,,,,,,,
,,"Garrigós, J.",,,,,,,,,,,,,,,
,,"Gómez-Rodellar, A.",,,,,,,,,,,,,,,
,,"Gómez-Vilda, P.",,,,,,,,,,,,,,,
,,"Graña, M.",,,,,,,,,,,,,,,
,,"Guerrero-Rodriguez, B.",,,,,,,,,,,,,,,
,,"Hendrikse, S.C.F.",,,,,,,,,,,,,,,
,,"Jimenez-Mesa, C.",,,,,,,,,,,,,,,
,,"Jodra-Chuan, M.",,,,,,,,,,,,,,,
,,"Julian, V.",,,,,,,,,,,,,,,
,,"Kotz, G.",,,,,,,,,,,,,,,
,,"Kutt, K.",,,,,,,,,,,,,,,
,,"Leming, M.",,,,,,,,,,,,,,,
,,"de Lope, J.",,,,,,,,,,,,,,,
,,"Macas, B.",,,,,,,,,,,,,,,
,,"Marrero-Aguiar, V.",,,,,,,,,,,,,,,
,,"Martinez, J.J.",,,,,,,,,,,,,,,
,,"Martinez-Murcia, F.J.",,,,,,,,,,,,,,,
,,"Martínez-Tomás, R.",,,,,,,,,,,,,,,
,,"Mekyska, J.",,,,,,,,,,,,,,,
,,"Nalepa, G.J.",,,,,,,,,,,,,,,
,,"Novais, P.",,,,,,,,,,,,,,,
,,"Orellana, D.",,,,,,,,,,,,,,,
,,"Ortiz, A.",,,,,,,,,,,,,,,
,,"Palacios-Alonso, D.",,,,,,,,,,,,,,,
,,"Palma, J.",,,,,,,,,,,,,,,
,,"Pereira, A.",,,,,,,,,,,,,,,
,,"Pinacho-Davidson, P.",,,,,,,,,,,,,,,
,,"Pinninghoff, M.A.",,,,,,,,,,,,,,,
,,"Ponticorvo, M.",,,,,,,,,,,,,,,
,,"Psarrou, A.",,,,,,,,,,,,,,,
,,"Ramírez, J.",,,,,,,,,,,,,,,
,,"Rincón, M.",,,,,,,,,,,,,,,
,,"Rodellar-Biarge, V.",,,,,,,,,,,,,,,
,,"Rodríguez-Rodríguez, I.",,,,,,,,,,,,,,,
,,"Roelofsma, P.H.M.P.",,,,,,,,,,,,,,,
,,"Santos, J.",,,,,,,,,,,,,,,
,,"Salas-Gonzalez, D.",,,,,,,,,,,,,,,
,,"Salcedo-Lagos, P.",,,,,,,,,,,,,,,
,,"Segovia, F.",,,,,,,,,,,,,,,
,,"Shoeibi, A.",,,,,,,,,,,,,,,
,,"Silva, M.",,,,,,,,,,,,,,,
,,"Simic, D.",,,,,,,,,,,,,,,
,,"Suckling, J.",,,,,,,,,,,,,,,
,,"Treur, J.",,,,,,,,,,,,,,,
,,"Tsanas, A.",,,,,,,,,,,,,,,
,,"Varela, R.",,,,,,,,,,,,,,,
,,"Wang, S.H.",,,,,,,,,,,,,,,
,,"Wang, W.",,,,,,,,,,,,,,,
,,"Zhang, Y.D.",,,,,,,,,,,,,,,
,,"Zhu, H.",,,,,,,,,,,,,,,
,,"Zhu, Z.",,,,,,,,,,,,,,,
,,"Ferrández-Vicente, J.M.",,,,,,,,,,,,,,,
JOUR,"Unveiling Security, Privacy, and Ethical Concerns of ChatGPT","Wu, Xiaodong",Journal of Information and Intelligence,,,2023,2023/10/31/,2949-7159,https://doi.org/10.1016/j.jiixd.2023.10.007,https://www.sciencedirect.com/science/article/pii/S2949715923000707,ChatGPT,"This paper delves into the realm of ChatGPT, an AI-powered chatbot that utilizes topic modeling and reinforcement learning to generate natural responses. Although ChatGPT holds immense promise across various industries, such as customer service, education, mental health treatment, personal productivity, and content creation, it is essential to address its security, privacy, and ethical implications. By exploring the upgrade path from GPT-1 to GPT-4, discussing the model’s features, limitations, and potential applications, this study aims to shed light on the potential risks of integrating ChatGPT into our daily lives. Focusing on security, privacy, and ethics issues, we highlight the challenges these concerns pose for widespread adoption. Finally, we analyze the open problems in these areas, calling for concerted efforts to ensure the development of secure and ethically sound large language models.",,,,,
,,"Duan, Ran",,,,,,,,,Large Language Model (LLM),,,,,,
,,"Ni, Jianbing",,,,,,,,,Security,,,,,,
,,,,,,,,,,,Privacy,,,,,,
,,,,,,,,,,,Ethics,,,,,,
JOUR,JointMatcher: Numerically-aware entity matching using pre-trained language models with attention concentration,"Ye, Chen",Knowledge-Based Systems,251,109033,2022,2022/09/05/,0950-7051,https://doi.org/10.1016/j.knosys.2022.109033,https://www.sciencedirect.com/science/article/pii/S0950705122005044,Entity matching,"Entity matching (EM) aims to identify whether two records refer to the same underlying real-world entity. Traditional entity matching methods mainly focus on structured data, where the attribute values are short and atomic. Recently, there has been an increasing demand for matching textual records, such as matching descriptions of products that correspond to long spans of text, which challenges the applications of these methods. Although a few deep learning (DL) solutions have been proposed, these solutions tend to “directly” use the DL techniques and treat the EM as NLP tasks without determining the unique demand for the EM task. Thus, the performance of these DL-based solutions is still far from satisfactory. In this paper, we present JointMatcher, a novel EM method based on the pre-trained Transformer-based language models so that the generated features of the textual records contain the context information. We realize that more attention paid to the similar segments and number-contained segments of the record pair is crucial for accurate matching. To integrate the high-contextualized features with the consideration of paying more attention to the similar segments and the number-contained segments, JointMatcher is equipped with the relevance-aware encoder and the numerically-aware encoder. Extensive experiments using structured and real-world textual datasets demonstrated that JointMatcher outperforms the previous state-of-the-art (SOTA) results without injecting any domain knowledge when small or medium size training sets are used.",,,,,
,,"Jiang, Shihao",,,,,,,,,Pre-trained language model,,,,,,
,,"Zhang, Hua",,,,,,,,,Attention concentration,,,,,,
,,"Wu, Yifan",,,,,,,,,,,,,,,
,,"Shi, Jiankai",,,,,,,,,,,,,,,
,,"Wang, Hongzhi",,,,,,,,,,,,,,,
,,"Dai, Guojun",,,,,,,,,,,,,,,
JOUR,"Investigating Pre-trained Language Models on Cross-Domain Datasets, a Step Closer to General AI","Ballout, Mohamad",Procedia Computer Science,222,94,2023,2023/01/01/,1877-0509,https://doi.org/10.1016/j.procs.2023.08.147,https://www.sciencedirect.com/science/article/pii/S1877050923009122,transfer learning,"Pre-trained language models have recently emerged as a powerful tool for fine-tuning a variety of language tasks. Ideally, when models are pre-trained on large amount of data, they are expected to gain implicit knowledge. In this paper, we investigate the ability of pre-trained language models to generalize to different non-language tasks. In particular, we test them on tasks from different domains such as computer vision, reasoning on hierarchical data, and protein fold prediction. The four pre-trained models that we used, T5, BART, BERT, and GPT-2 achieve outstanding results. They all have similar performance and they outperform transformers that are trained from scratch by a large margin. For instance, pre-trained language models perform better on the Listops dataset, with an average accuracy of 58.7%, compared to transformers trained from scratch, which have an average accuracy of 29.0%. The significant improvement demonstrated across three types of datasets suggests that pre-training on language helps the models to acquire general knowledge, bringing us a step closer to general AI. We also showed that reducing the number of parameters in pre-trained language models does not have a great impact as the performance drops slightly when using T5-Small instead of T5-Base. In fact, when using only 2% of the parameters, we achieved a great improvement compared to training from scratch. Finally, in contrast to prior work, we find out that using pre-trained embeddings for the input layer is necessary to achieve the desired results.",,103,International Neural Network Society Workshop on Deep Learning Innovations and Applications (INNS DLIA 2023),,
,,"Krumnack, Ulf",,,,,,,,,natural language processing,,,,,,
,,"Heidemann, Gunther",,,,,,,,,multi-modal learning,,,,,,
,,"Kühnberger, Kai-Uwe",,,,,,,,,deep learning,,,,,,
,,,,,,,,,,,pre-trained transformers,,,,,,
